source_file,file_type,extraction_method,quality_score,requires_ocr,requires_manual_review,selected_text_file,searchable_pdf,warnings,errors
C:\Users\henri\Desktop\agenticaiv2\data\data_raw\agua_01.webp,webp,baseline_ocr,0.197,True,True,C:\Users\henri\Desktop\agenticaiv2\data\data_txt\agua_01_selected_text.txt,C:\Users\henri\Desktop\agenticaiv2\data\data_pdf\agua_01_baseline_ocr.pdf,No dates found in selected text. | No money values found in selected text. | Selected OCR quality score is below manual-review threshold.,
C:\Users\henri\Desktop\agenticaiv2\data\data_raw\agua_02.png,png,enhanced_ocr,0.485,True,True,C:\Users\henri\Desktop\agenticaiv2\data\data_txt\agua_02_selected_text.txt,C:\Users\henri\Desktop\agenticaiv2\data\data_pdf\agua_02_enhanced_ocr.pdf,No dates found in selected text. | Selected OCR quality score is below manual-review threshold.,
C:\Users\henri\Desktop\agenticaiv2\data\data_raw\agua_03.jpg,jpg,baseline_ocr,0.633,True,False,C:\Users\henri\Desktop\agenticaiv2\data\data_txt\agua_03_selected_text.txt,C:\Users\henri\Desktop\agenticaiv2\data\data_pdf\agua_03_baseline_ocr.pdf,,
C:\Users\henri\Desktop\agenticaiv2\data\data_raw\agua_04.png,png,enhanced_ocr,0.472,True,True,C:\Users\henri\Desktop\agenticaiv2\data\data_txt\agua_04_selected_text.txt,C:\Users\henri\Desktop\agenticaiv2\data\data_pdf\agua_04_enhanced_ocr.pdf,No dates found in selected text. | Selected OCR quality score is below manual-review threshold.,
C:\Users\henri\Desktop\agenticaiv2\data\data_raw\agua_05.jpg,jpg,enhanced_ocr,0.495,True,True,C:\Users\henri\Desktop\agenticaiv2\data\data_txt\agua_05_selected_text.txt,C:\Users\henri\Desktop\agenticaiv2\data\data_pdf\agua_05_enhanced_ocr.pdf,Selected OCR quality score is below manual-review threshold.,
C:\Users\henri\Desktop\agenticaiv2\data\data_raw\agua_06.jpg,jpg,enhanced_ocr,0.556,True,False,C:\Users\henri\Desktop\agenticaiv2\data\data_txt\agua_06_selected_text.txt,C:\Users\henri\Desktop\agenticaiv2\data\data_pdf\agua_06_enhanced_ocr.pdf,,
C:\Users\henri\Desktop\agenticaiv2\data\data_raw\gas_01.webp,webp,baseline_ocr,0.176,True,True,C:\Users\henri\Desktop\agenticaiv2\data\data_txt\gas_01_selected_text.txt,C:\Users\henri\Desktop\agenticaiv2\data\data_pdf\gas_01_baseline_ocr.pdf,No dates found in selected text. | Selected OCR quality score is below manual-review threshold.,
C:\Users\henri\Desktop\agenticaiv2\data\data_raw\gas_02.png,png,enhanced_ocr,0.47,True,True,C:\Users\henri\Desktop\agenticaiv2\data\data_txt\gas_02_selected_text.txt,C:\Users\henri\Desktop\agenticaiv2\data\data_pdf\gas_02_enhanced_ocr.pdf,No dates found in selected text. | Selected OCR quality score is below manual-review threshold.,
C:\Users\henri\Desktop\agenticaiv2\data\data_raw\gas_03.webp,webp,baseline_ocr,0.194,True,True,C:\Users\henri\Desktop\agenticaiv2\data\data_txt\gas_03_selected_text.txt,C:\Users\henri\Desktop\agenticaiv2\data\data_pdf\gas_03_baseline_ocr.pdf,No dates found in selected text. | No money values found in selected text. | Selected OCR quality score is below manual-review threshold.,
C:\Users\henri\Desktop\agenticaiv2\data\data_raw\gas_04.png,png,enhanced_ocr,0.47,True,True,C:\Users\henri\Desktop\agenticaiv2\data\data_txt\gas_04_selected_text.txt,C:\Users\henri\Desktop\agenticaiv2\data\data_pdf\gas_04_enhanced_ocr.pdf,No dates found in selected text. | Selected OCR quality score is below manual-review threshold.,
